DATE,RAIN INCHES SD,RAIN INCHES OSM,RAIN INCH TOTAL
1/1/2016,3.21,1.99,5.2
2/1/2016,0.05,0.13,0.18
3/1/2016,0.76,0.97,1.73
4/1/2016,0.55,0.22,0.77
5/1/2016,0.44,--,0.44
6/1/2016,0,0,0
7/1/2016,0,0,0
8/1/2016,0,0,0
9/1/2016,0.32,0.2,0.52
10/1/2016,0.07,0.33,0.4
11/1/2016,0.61,0.96,1.57
12/1/2016,4.22,3.14,7.36
1/1/2017,3.01,6.72,9.73
2/1/2017,3.71,3.07,6.78
3/1/2017,0.08,0.13,0.21
4/1/2017,0.01,0.11,0.12
5/1/2017,0.92,1.31,2.23
6/1/2017,0.02,0.01,0.03
7/1/2017,0,0,0
8/1/2017,0,0.02,0.02
9/1/2017,0.08,0.01,0.09
10/1/2017,0,0.03,0.03
11/1/2017,0.02,0.24,0.26
12/1/2017,0.07,0.03,0.1
1/1/2018,1.78,2.94,4.72
2/1/2018,0.36,0.3,0.66
3/1/2018,0.95,1.83,2.78
4/1/2018,0.02,0.08,0.1
5/1/2018,0.12,0.17,0.29
6/1/2018,0,0,0
7/1/2018,0,0.06,0.06
8/1/2018,0.02,0,0.02
9/1/2018,0,0,0
10/1/2018,0.57,0.78,1.35
11/1/2018,0.81,0.74,1.55
12/1/2018,3.02,2.47,5.49
1/1/2019,2.8,2.85,5.65
2/1/2019,3.42,5.13,8.55
3/1/2019,1.23,1.17,2.4
4/1/2019,0.16,0.45,0.61
5/1/2019,0.8,0.57,1.37
6/1/2019,0.01,0.16,0.17
7/1/2019,0,0.03,0.03
8/1/2019,0,0,0
9/1/2019,0.11,0,0.11
10/1/2019,0,0,0
11/1/2019,2.72,3.09,5.81
12/1/2019,4.03,3.8,7.83
1/1/2020,0.05,0.13,0.18
2/1/2020,0.04,0.09,0.13
3/1/2020,0,0,0
4/1/2020,0,0,0
